"Jahr","Jan","Feb","Mrz","Apr","Mai","Jun","Jul","Aug","Sep","Okt","Nov","Dez","Summe"
"2023","380.332","0","0","0","0","0","0","0","0","0","0","0","380.333"
"2022","34.290","146.986","157.027","136.564","143.036","147.973","151.201","148.667","135.407","158.800","165.973","201.596","1.727.520"
