"Beitrag/Seite","URL","Inhaltstyp","Aufrufe","Anteil"
"
							Bibliothekar (m/w/d), TV-L E 9, Vollzeit, befristet bis 31.12.2021, Kennziffer: 21-1023						","/stellenangebote/41328","Stellenangebot","6","0,00 %"
"
							Fachreferent/in Bibliothek (m/w/d) mit politik- oder regionalwissenschaftlichem Schwerpunkt, E13 TVöD, unbefristet in Vollzeit						","/stellenangebote/41346","Stellenangebot","6","0,00 %"
"
							Mitarbeiter/in (w/m/d) für die Administration eines „Open Journal Systems“, EG 9 TV-L, Teilzeit (19,92 Wochenstunden), befristet auf drei Jahre						","/stellenangebote/41376","Stellenangebot","6","0,00 %"
"
							Bibliotheksmitarbeiter/in, E 4 TVÖD, unbefristet, Teilzeit 20 Std, Chiffre: 42190703						","/stellenangebote/41440","Stellenangebot","6","0,00 %"
"
							Medienproduzentin (E-Medien), (m/w/d), E 13 TVL; befristet, KENNZIFFER 164-LIV, Vollzeit (Teilzeit möglich)						","/stellenangebote/41523","Stellenangebot","6","0,00 %"
"
							Projektmanager*in für den Aufbau eines ‚Digital Learning Laboratory‘, E 13 TV-L, befristet in Teilzeit						","/stellenangebote/41590","Stellenangebot","6","0,00 %"
"
							Bibliothekar*in, Entgeltgruppe 9b, Teilzeit (25 Stunden), unbefristet						","/stellenangebote/41658","Stellenangebot","6","0,00 %"
"
							Leiter (m/w/d), E 10 TVöD, befristet als Elternzeitvertretung, 36 h/Woche						","/stellenangebote/41664","Stellenangebot","6","0,00 %"
"
							Bibliothekar/in (B.A./Diplom), unbefristet in Teilzeit mit 24 Wochenstunden, Entgeltgruppe 9 TV-L, Stichwort „TB-N“						","/stellenangebote/41699","Stellenangebot","6","0,00 %"
"
							Fachangestellte/r für Medien und Informationsdienste, Fachrichtung Bibliothek (E5, befristet)						","/stellenangebote/41744","Stellenangebot","6","0,00 %"
"
							Bibliothekar*in, Systembibliothekar*in, Bibliotheksinformatiker*in, Informatiker*in oder vergleichbare Abschlüsse (Leitung des Digitalisierungszentrums), E 10 TV-L, zunächst auf 2 Jahre befristet, aber mit Option auf Verlängerung						","/stellenangebote/41750","Stellenangebot","6","0,00 %"
"
							Mediengestalter/in für Digital- und Printmedien (m/w/d), (Entgeltgruppe E6 – E8 TV-L, Vollzeit, befristet 24 Monate)						","/stellenangebote/41770","Stellenangebot","6","0,00 %"
"
							Softwareentwicklung für Scientific Repository Services, Vollzeit, bis E 13 TV-L, bis 30.06.2023 befristet, Kennziffer 2019/150						","/stellenangebote/41803","Stellenangebot","6","0,00 %"
"
							Studentischer Mitarbeiter (m/w/d) in der Bibliothek, TV-L E 3, befristet, Teilzeit						","/stellenangebote/41824","Stellenangebot","6","0,00 %"
"
							Bibliothekar/in (m/w/d), Entgeltgruppe E9 b TVöD, unbefristet, Teilzeit 19,5 Wochenstunden						","/stellenangebote/41828","Stellenangebot","6","0,00 %"
"
							BibliothekarIn höher qualifizierter Tätigkeitsbereich – Systemmanagement/Fachinformation/Fachreferat, Vollzeit 40 Stunden/Woche; vorerst befristet auf ein Jahr – mit Option auf Dauerstelle, Kennzahl: AB/73/99 ex 2018/19						","/stellenangebote/41832","Stellenangebot","6","0,00 %"
"
							Stud. Hilfskraft (m/w/d), Betreuung und schrittweise Umarbeitung der IER-Bibliothek, ca. 20-40 Std./Monat, Kennziffer AAO 01-19						","/stellenangebote/41878","Stellenangebot","6","0,00 %"
"
							Fachangestellte/r für Medien- und Informationsdienste, ab 01.11.2019, unbefristet, Teilzeit: 7,96 Std./Woche, TUV1907-06						","/stellenangebote/41905","Stellenangebot","6","0,00 %"
"
							Diplombibliothekar/in (m-w-d), Entgeltgruppe 9 TV-L, unbefristet in Vollzeit						","/stellenangebote/41968","Stellenangebot","6","0,00 %"
"
							Wissenschaftliche*r Projektmitarbeiter*in zur Erschließung einer architekturhistorischen Sammlung (m/w/d), E 12 oder 13 TV-L, befristet auf drei Jahre, in Teilzeit (19,9 Stunden), Kennziffer 32/2019						","/stellenangebote/42012","Stellenangebot","6","0,00 %"
"
							Fachangestellte/r für Medien und Informationsdienste (m/w/d), Schwerpunkt Kinder und Jugend, E 8 TVöD, unbefristet, Vollzeit						","/stellenangebote/42014","Stellenangebot","6","0,00 %"
"
							Informationsbibliothekar*in (m/w/d), E 10 TVöD, Teilzeit (50%), unbefristet						","/stellenangebote/42020","Stellenangebot","6","0,00 %"
"
							Medienpädagoge / Bibliothekar (m/w/d), E 9 Haustarif, zunächst auf 2 Jahre befristet, Teilzeit mit 30 Wochenstunden						","/stellenangebote/42022","Stellenangebot","6","0,00 %"
"
							Ausbildung zum/zur Fachangestellten für Medien- und Informationsdienste Fachrichtung Bibliothek (m/w/d)						","/stellenangebote/42054","Stellenangebot","6","0,00 %"
"
							Marketing Manager (m/w/d)						","/stellenangebote/42056","Stellenangebot","6","0,00 %"
"
							Ausbildungsplatz zur/zum Fachangestellten (m/w/d) für  Medien- und Informationsdienste (Fachrichtung Bibliothek)						","/stellenangebote/42058","Stellenangebot","6","0,00 %"
"
							FaMI, Vollzeit, E 6, befristet						","/stellenangebote/42062","Stellenangebot","6","0,00 %"
"
							Archivmitarbeiter*in, vorerst befristet, TV-L E5						","/stellenangebote/42157","Stellenangebot","6","0,00 %"
"
							Projektmitarbeiter/in (m/w/d) für das Projekt Digitale Langzeitverfügbarkeit, TV-L E 13, Vollzeit, 2 Jahre befristet, Nr. 19.164						","/stellenangebote/42166","Stellenangebot","6","0,00 %"
"
							Archivar*in, EG 9 TV-L, befristet für 24 Monate, Teilzeit						","/stellenangebote/42168","Stellenangebot","6","0,00 %"
"
							Bibliotheksleitung (Dipl.-Bibl.), E 10 TVöD, unbefristet in Teilzeit 70%						","/stellenangebote/42174","Stellenangebot","6","0,00 %"
"
							Referent/-in für Forschungsdatenmanagement und forschungsunterstützende IT-Infrastruktur, E13 TV-L FU, befristet bis 30.09.2022 in Vollzeit, Kennung: UB/2019/15						","/stellenangebote/42180","Stellenangebot","6","0,00 %"
"
							Fachangestellte (m/w/d) für Medien- und Informationsdienste, E 5 TVöD, Vollzeit, unbefristet, Bibl-0119						","/stellenangebote/42216","Stellenangebot","6","0,00 %"
"
							Bibliothekar/in, E 9 TV-L, Vollzeit, befristet bis 31.12.2021						","/stellenangebote/42236","Stellenangebot","6","0,00 %"
"
							mehrere Bibliothekare (m/w/d), E9c TvöD oder A9 BBesO, unbefristet, Vollzeit und Teilzeit möglich, Kennziffer: 31/19/EE_BB/1272						","/stellenangebote/42238","Stellenangebot","6","0,00 %"
"
							Bibliothekar*in (m/w/d), Entgeltgruppe 9c TVöD / Besoldungsgruppe A 9g BBesO, unbefristet, Kennziffer IAI-5-2019						","/stellenangebote/42240","Stellenangebot","6","0,00 %"
"
							drei Stellen einer/eines Auszubildenden für den Beruf der/des Fachangestellten für Medien- und Informationsdienste, Fachrichtung Bibliothek (w/m/d), Ausbildungsvergütung nach dem TVAöD						","/stellenangebote/42242","Stellenangebot","6","0,00 %"
"
							Leiterin / Leiter der Bibliothek (m/w/d), E 11, Vollzeit, unbefristet, Referenzcode: 20191595_9972						","/stellenangebote/42246","Stellenangebot","6","0,00 %"
"
							Mitarbeiter/in für den Bereich Datenmanagement und Volltext-Vorbereitung, Teilzeit 10 bis 20 Wochenstunden, befristet für zwei Jahre, TV-L E 5, Kennziffer 14 19 05						","/stellenangebote/42304","Stellenangebot","6","0,00 %"
"
							Bibliotheksamtfrau*Bibliotheksamtmann, BesGr. A 11, Vollzeit, unbefristet, Kennziffer VII-490/19						","/stellenangebote/42310","Stellenangebot","6","0,00 %"
"
							Ausbildung Fachangestellte_r für Medien- und Informationsdienste (w/d/m) zum 01.08.2020						","/stellenangebote/42312","Stellenangebot","6","0,00 %"
"
							Head of Library, 5 years contract (renewable)						","/stellenangebote/42314","Stellenangebot","6","0,00 %"
"
							Fachangestellte für Medien- und Informationsdienste, E 5 TV-L, ab sofort, Vollzeit, unbefristet, Kennziffer: TUV1908-06						","/stellenangebote/42316","Stellenangebot","6","0,00 %"
"
							Medizinischer Dokumentationsassistent (m/w/d), Teilzeit (30 Stunden pro Woche) befristet bis 31.12.2019, mit Option auf Verlängerung, Kennziffer: 225/2019						","/stellenangebote/42344","Stellenangebot","6","0,00 %"
"
							Teamleitung Finanzen/Controlling, Vollzeit, E12 TV-L, zunächst befristet auf 2 Jahre, Entfristung wird angestrebt						","/stellenangebote/42351","Stellenangebot","6","0,00 %"
"
							Mitarbeiter/in Lernraumentwicklung/Projektmanagement, TV-L E 13, befristet in Vollzeit, Kennziffer 2019_18						","/stellenangebote/42355","Stellenangebot","6","0,00 %"
"
							Bibliothekar*in, E 9 TV-L, unbefristet, Vollzeit						","/stellenangebote/42361","Stellenangebot","6","0,00 %"
"
							Wissenschaftliche*r Mitarbeiter*in (m/w/d), E 13 TV-L, befristet auf drei Jahre, in Vollzeit (39,80 Stunden), Kennziffer 33/2019						","/stellenangebote/42379","Stellenangebot","6","0,00 %"
"
							Auszubildende/r zur/zum Fachangestellte/n für Medien-und Informationsdienste (m/w/d), Fachrichtung Bibliothek, zum 01.08.2020						","/stellenangebote/42392","Stellenangebot","6","0,00 %"
"
							Fachangestellte für Medien- und Informationsdienste (m/w/d), E 7 TVöD, unbefristet in Teilzeit (19,5 Std./Woche, Kennziffer: 54.2019						","/stellenangebote/42394","Stellenangebot","6","0,00 %"
"
							zwei Ausbildungsplätze Fachangestellte für Medien und  Informationsdienste FR Bibliothek (w/m/d), TVA-L BBiG, Ausbildungsbeginn 31.08.2020						","/stellenangebote/42402","Stellenangebot","6","0,00 %"
"
							Fachkraft (m/w/d) Bibliothek (Fachangestellte/r für Medien- u. Info.Dienste – Bibliothek), Teilzeit, befristet, E5 TV-L						","/stellenangebote/42410","Stellenangebot","6","0,00 %"
"
							Mitarbeiterin/in (m/w/d) in einem Digitalisierungsprojekt, befristet, E 9 TV-L						","/stellenangebote/42414","Stellenangebot","6","0,00 %"
"
							Bibliothekar/in, Vollzeit						","/stellenangebote/42425","Stellenangebot","6","0,00 %"
"
							wissenschaftliche/r Koordinator/in (m/w/div) für das NFDI4Memory-Konsortium, TV-L EG 13, Vollzeit, befristet						","/stellenangebote/42437","Stellenangebot","6","0,00 %"
"
							Beschäftigter in Bibliotheken (m/w/d), E 3 TV-L HU, Teilzeit Kennziffer AN/239/19, Bewerbungen von Studierenden aus ethnologischen Studiengängen sind ausdrücklich erwünscht						","/stellenangebote/42458","Stellenangebot","6","0,00 %"
"
							Unterstützung der Bibliotheksleitung (FaMI oder Ausbildung im Bereich Gestaltung, Medien, Design oder im kaufmännischen Bereich), 2 Jahre befristet, Teilzeit 30 Std., E 8 TV-L						","/stellenangebote/42501","Stellenangebot","6","0,00 %"
"
							Fachangestellte/r für Medien- und Informationsdienste, Fachrichtung Bibliothek / BiblAsst (m/w/d), E5 TVöD, unbefristet in Vollzeit, Kennziffer/Referenzcode: B7506325A-2019-00003322-E						","/stellenangebote/42503","Stellenangebot","6","0,00 %"
"
							Bibliothekar*in (w/m/d) im Bereich Benutzungsservice und Historische Sammlungen, A9/ E9 TVL, Vollzeit, unbefristet, Kennziffer 00000688						","/stellenangebote/42507","Stellenangebot","6","0,00 %"
"
							Librarian and Information Specialist						","/stellenangebote/42533","Stellenangebot","6","0,00 %"
"
							Geschäftsführer (m/w/d), E 11 TV-L HU (Teilzeitbeschäftigung ggf. möglich), Kennziffer AN/218/19						","/stellenangebote/42565","Stellenangebot","6","0,00 %"
"
							Fachangestellte/r für Medien- und Informationsdienste, unbefristet, Teilzeit 27 Stunden, E5 TVÖD						","/stellenangebote/42698","Stellenangebot","6","0,00 %"
"
							Medienpädagoge (m/w/d), E 9b TVöD, unbefristet in Teilzeit (19,5 Std.), Kennziffer 13-100						","/stellenangebote/42716","Stellenangebot","6","0,00 %"
"
							Verantwortliche/-r Forschungsservice Open Science, 70%						","/stellenangebote/42718","Stellenangebot","6","0,00 %"
"
							FaMI, E 8 TVöD (vorbehaltlich der Haushaltsgenehmigung 2020), unbefristet in Vollzeit, Kennziffer 1966						","/stellenangebote/42722","Stellenangebot","6","0,00 %"
"
							Projektmitarbeiter/in (w/m/d) Digitalisierung des Darmstädter Tagblatts, Vollzeit auf 24 Monate befristet, Kenn-Nr. 466						","/stellenangebote/42748","Stellenangebot","6","0,00 %"
"
							ProjektmitarbeiterIn „Digitale Transformation von Gesellschaft, Studium und Lehre“, Teilzeit 90%, E 13 TV-L, befristet, Kennziffer 2019/187						","/stellenangebote/42760","Stellenangebot","6","0,00 %"
"
							wissenschaftlicher Bibliothekar, m/w/d, E 13, unbefristet, Teilzeit 50 %, Kennziffer 60/19/3.202						","/stellenangebote/42787","Stellenangebot","6","0,00 %"
"
							Diplomarchivar (m/w/d), E 9 TV-L HU (Vertretungseinstellung vorauss. befristet bis 24.01.2020; Verlängerung und Teilzeitbeschäftigung ggf. möglich) (AN/216/19)						","/stellenangebote/42791","Stellenangebot","6","0,00 %"
"
							Referent/in und Sachgebietsleitung Öffentlichkeitsarbeit (m/w/d), E 13 TVöD, unbefristet in Vollzeit (Teilzeit möglich), Kennziffer: 699.00						","/stellenangebote/42797","Stellenangebot","6","0,00 %"
"
							Systembibliothekar/-in (m/w/d), unbefristet in Vollzeit (100%) Kennziffer N1144						","/stellenangebote/42805","Stellenangebot","6","0,00 %"
"
							Projektmitarbeiter IT / Digitalisierung (w/m/d), E 11 TV-L, 30 Monate befristet, Vollzeit						","/stellenangebote/42831","Stellenangebot","6","0,00 %"
"
							Bürosachbearbeiter (w/m/d) im Benutzungsbereich, E6 TVöD bzw. A6/A7 BBesO, m.d.H. der wöchentlichen Arbeitszeit (19,5 Stunden), Kennziffer ID 1/416						","/stellenangebote/42871","Stellenangebot","6","0,00 %"
"
							Document Management Professional						","/stellenangebote/42909","Stellenangebot","6","0,00 %"
"
							Fachangestellte/r für Medien- und Informationsdienste, Fachrichtung Bibliothek (m/w/d), Vollzeit (Teilzeit mit mind. 30 Std./Woche ist möglich), befristet als Elternzeitvertretung, E 5 TV-L						","/stellenangebote/42916","Stellenangebot","6","0,00 %"
"
							Diplom-Bibliothekar*in, E 10 TvÖD, unbefristet ab 01.10.2019 in Vollzeit (Teilzeit geeignet), Ausschreibungsnummer: 41.83.3-2019-03-DZ						","/stellenangebote/42922","Stellenangebot","6","0,00 %"
"
							Beschäf­tigte*r (d/m/w) im Ser­vice­zen­trum For­schungs­da­ten­ma­nage­ment, E13 TV-L Ber­li­ner Hoch­schu­len, befristet bis 31.12.2022, Teil­zeit­be­schäf­ti­gung ist ggf. mög­lich						","/stellenangebote/42928","Stellenangebot","6","0,00 %"
"
							Mitarbeiter oder Mitarbeiterin im Bereich Daten- und Informationsdienstleistungen, unbefristet in Teilzeit, nach TVöD						","/stellenangebote/42936","Stellenangebot","6","0,00 %"
"
							Fachangestellte/r für Medien- und Informationsdienste (m/w/d) (Fachrichtung Bibliothek), bis zu EG 6 TV-L, Teilzeit bis zu 32 h/Woche, befristet bis 31.10.2020						","/stellenangebote/42979","Stellenangebot","6","0,00 %"
"
							Lehrstelle Fachfrau / Fachmann Information und Dokumentation EFZ						","/stellenangebote/43053","Stellenangebot","6","0,00 %"
"
							Fachangestellte*r für Medien- und Informationsdienste (Open Access) , E08 TVöD VKA-K, Vollzeit, zunächst befristet bis 31.12.2021, Kennziffer So.92.19						","/stellenangebote/43090","Stellenangebot","6","0,00 %"
"
							Bibliothekar/in (m/w/d) Diplom oder B.A., unbefristet, Teilzeit 30 WSt., Vergütung erfolgt nach allgemeinem Arbeitsrecht in Anlehnung an die ortsübliche Vergütung						","/stellenangebote/43138","Stellenangebot","6","0,00 %"
"
							Fachangestellte/-n für Medien- und Informationsdienste / Fachrichtung Bibliothek bzw. Bibliotheksassistentin/-en (m/w/d) oder alternativ Buchhändler/-in (m/w/d)  in E 5 TV-L, unbefristet in Vollzeit						","/stellenangebote/43148","Stellenangebot","6","0,00 %"
"
							Restaurierungshelfer/in (m/w/d), Teilzeit, E 3, Bewerbungen Älterer sind erwünscht						","/stellenangebote/43170","Stellenangebot","6","0,00 %"
"
							Leitung des Digitalisierungszentrums (m/w/d), Vollzeit, E 11, Bewerbungen Älterer sind erwünscht						","/stellenangebote/43172","Stellenangebot","6","0,00 %"
"
							Diplombibliothekar(in) im Infoteam, unbefristet in Vollzeit mit 39,2 Wochenstunden, Entgeltgruppe 9 TV-L, Kennzeichen INFOTEAM						","/stellenangebote/43216","Stellenangebot","6","0,00 %"
"
							4 Servicehilfskräfte, E2 TV-L Berliner Hochschulen, Teilzeit (25% d. Arbeitszeit), unbefristet, Kenn­zif­fer VII-415/19 (für Studierende geeignet)						","/stellenangebote/43218","Stellenangebot","6","0,00 %"
"
							Verlängerung der Bewerbungsfrist: Wissenschaftliche*r Bibliothekar*in (w/m/d) im Projekt BW-BIG DIWA, E 13 TVL, Vollzeit, auf 21 Monate befristet, Kennziffer 00000689						","/stellenangebote/43220","Stellenangebot","6","0,00 %"
"
							Mitarbeiter Mobile Bibliothek (m/w/d), befristet, E3 TVöD, Chiffre: 42190803, Vollzeit						","/stellenangebote/43268","Stellenangebot","6","0,00 %"
"
							Referent Lizenzmanagement und Medienkauf (m/w/d), zunächst befristet auf zwei Jahre, Stellennummer 34835						","/stellenangebote/43286","Stellenangebot","6","0,00 %"
"
							Leitung der Stadtbücherei (m/w/d), Teilzeit, E 8 TVöD						","/stellenangebote/43288","Stellenangebot","6","0,00 %"
"
							Ausbildung als Fachangestellte für Medien- und Informationsdienste (m/w/d)						","/stellenangebote/43313","Stellenangebot","6","0,00 %"
"
							FaMI bzw. Bibliotheksassistent/in, E 9a TVöD, unbefristet, in Voll- und Teilzeit, Verfahrensnummer 10163						","/stellenangebote/43326","Stellenangebot","6","0,00 %"
"
							Mitarbeiter/in in der Digitalisierungswerkstatt als projektbezogene Teamassistenz, E 6 TV-L, bis zum 31.12.2014 befristet						","/stellenangebote/4334","Stellenangebot","6","0,00 %"
"
							Leitung der Janusz-Korczak-Bibliothek, E 10 TVL, unbefristet in Vollzeit, Kennzahl: 151-3640-2019						","/stellenangebote/43350","Stellenangebot","6","0,00 %"
"
							Bibliothekar (m/w/d) Diplom/Bachelor/Master in Vollzeit, E 9 TVöD, Kennziffer: 02/27/2019						","/stellenangebote/43354","Stellenangebot","6","0,00 %"
"
							Wissenschaftlichen Dokumentar zur Ausbildung (m/w/d) (Unternehmensarchiv/Historisches Archiv), befristet 24 Monate, Vollzeit, tariflichen Vergütungssätze für Wissenschaftliche Dokumentare in Ausbildung						","/stellenangebote/43409","Stellenangebot","6","0,00 %"
"
							Wissenschaftlichen Dokumentar (m/w/d) zur Ausbildung (Recherche), befristet 24 Monate, Vollzeit, tariflichen Vergütungssätze für Wissenschaftliche Dokumentare in Ausbildung						","/stellenangebote/43411","Stellenangebot","6","0,00 %"
"
							Bachelor Bibliotheks- und Informationsmanagement oder vergleichbare Qualifikation, Teamleitung Katalogisierung, EG 9c TVöD, unbefristet in Vollzeit						","/stellenangebote/43439","Stellenangebot","6","0,00 %"
"
							Leiter Campus-Bibliothek / Bibliothekar (Diplom/B.A.) / E 9b TVöD, Teilzeit (32 Wochenstunden), befristet bis 10.03.2021						","/stellenangebote/43441","Stellenangebot","6","0,00 %"
"
							2 Ausbildungsplätze Fachangestellte für Medien- und Informationsdienste / Fachrichtung Bibliothek						","/stellenangebote/43454","Stellenangebot","6","0,00 %"
"
							Mitarbeiter/in für die Stadtbibliothek (m/w/d) FaMI o.ä., E 5 TVÖD, Teilzeit 15 Std/Woche						","/stellenangebote/43460","Stellenangebot","6","0,00 %"
"
							Projektmitarbeiter*in für E-Journal Archivierung (m/w/d; E 13 TV-L; in Vollzeit (39,8 Wo/St) befristet auf 12 Monate, optional in Teilzeit (19,9 Wo/St) befristet auf 24 Monate; 40/2019 )						","/stellenangebote/43474","Stellenangebot","6","0,00 %"
"
							Fachangestellter für Medien- und Informationsdienste (m/w/d), Vollzeit, bis E 6 TV-L						","/stellenangebote/43488","Stellenangebot","6","0,00 %"
"
							Bibliotheks-, Medienpädagogin / Bibliotheks-, Medienpädagoge (m/w/d), E 9c TVöD-V, in Vollzeit, befristet bis 09.01.2020, 42.10-2243						","/stellenangebote/43504","Stellenangebot","6","0,00 %"
"
							Gesellin / Geselle im Buchbinderhandwerk (m/w/d), E5 TV-L, befristet, Teilzeit						","/stellenangebote/43515","Stellenangebot","6","0,00 %"
"
							Fachangestellte/n für Medien- und Informationsdienste (m/w/d), Teilzeit, E 6 TVöD, unbefristet						","/stellenangebote/43565","Stellenangebot","6","0,00 %"
"
							Lehrberuf Archiv-, Bibliotheks- und Informationsassistenten/-in, befristet, Vollzeit, Wertigkeit/Einstufung:Lehrlinge Dienststelle:HBLA u. BA f. Wein-u. Obstbau Dienstort:Klosterneuburg Vertragsart:Befristet Befristung: Beschäftigungsausmaß:Vollzeit,  Beginn der Tätigkeit: 01.10.2019 , Monatsentgelt/bezug mindestens:1. Lehrjahr € 600,– brutto, Referenzcode: BMNT-19-0216						","/stellenangebote/43573","Stellenangebot","6","0,00 %"
"
							Leitung der Abteilung Benutzung (A 14 NBesG)						","/stellenangebote/43579","Stellenangebot","6","0,00 %"
"
							Fachangestellte(r) für Medien- und Informationsdienste, befristet im Rahmen einer Elternzeitvertretung, Vollzeit, E 6 TV-H, Kennziffer: 199/2019 2.2						","/stellenangebote/43581","Stellenangebot","6","0,00 %"
"
							Information Retrieval Specialist (Dipl., B.A. o. M.A.), zunächst auf 2 Jahre befristet,						","/stellenangebote/43602","Stellenangebot","6","0,00 %"
"
							Leiterin/Leiter der Gemeindebücherei, Diplom-Bibliothekar/-in oder Bachelorabschluss im Bibliotheks- und Informationsmanagement, Vergütung nach TVöD, befristet zu besetzen aufgrund einer Mutterschafts- und einer sich anschließenden Elternzeitvertretung						","/stellenangebote/43671","Stellenangebot","6","0,00 %"
"
							Leiterin oder Leiter der Bibliothek, Vollzeit, befristet zu besetzen aufgrund einer Elternzeitvertretung						","/stellenangebote/43696","Stellenangebot","6","0,00 %"
"
							Fachgebietsleitung, A 13h – A 15 bzw. bis E 14 TVöD, unbefristet in Vollzeit, Kennziffer 951						","/stellenangebote/43704","Stellenangebot","6","0,00 %"
"
							Bibliothekar/in, E9 TV-L, unbefristet, Teilzeit (19:55 Stunden), Kennwort: Bewerbung I.A.4 Bibliothekar/in						","/stellenangebote/43725","Stellenangebot","6","0,00 %"
"
							Bibliothekar*in (m/w/d), Besoldungsgruppe A 9g BBesO / bis Entgeltgruppe 9c TVöD – je nach Qualifikation – unbefristet						","/stellenangebote/43784","Stellenangebot","6","0,00 %"
"
							Fachangestellter für Medien- und Informationsdienste (m/w/d), E 6 TV-L, befristet für 2 Jahre, Teilzeit (50%), Kennziffer: 154/19/3.41						","/stellenangebote/43792","Stellenangebot","6","0,00 %"
"
							Diplombibliothekar*in, Vollzeit, E 9 TV-Hessen, unbefristet, Kennziffer: HLB-M-105/19E						","/stellenangebote/43823","Stellenangebot","6","0,00 %"
"
							2 Stellen: Fachangestellte/-r für Medien- und Informationsdienste (m/w/d) für die Schulbibliothek (unbefristet, Kennziffer: 50/2019) und zur Katalogisierung (befristet auf 2 Jahre, Kennziffer: 51/2019), EG 5 TVöD, zum nächstmöglichen Termin						","/stellenangebote/43833","Stellenangebot","6","0,00 %"
"
							Bibliotheksangestellte*n (m/w/d), E11 TV-G-U, Teilzeit (50%),  Kennziffer 37/2019						","/stellenangebote/43843","Stellenangebot","6","0,00 %"
"
							Bibliotheksangestellte*n (m/w/d), E9 TV-G-U, Kennziffer 38/2019						","/stellenangebote/43845","Stellenangebot","6","0,00 %"
"
							Bibliothekarin/Bibliothekar (m/w/d) mit Schwerpunkt Informationstechnologie als Sachgebietsleitung Medien, Publikumsdienste, Elektronische Dienste, Vollzeit, unberfristet, E 10 – 11 TVöD						","/stellenangebote/43867","Stellenangebot","6","0,00 %"
"
							Leitung für das Bibliothekssystem (Bib 23), E 14 TV-L (A 14 NBesG), unbefristet, Vollzeit						","/stellenangebote/43925","Stellenangebot","6","0,00 %"
"
							Beschäftigte*r im Bibliotheksdienst, EG 9b TV-L, unbefristet in Vollzeit, Kenn­wort: MIZ Medienbearbeitung						","/stellenangebote/43985","Stellenangebot","6","0,00 %"
"
							Ausbildung zur/zum Fachangestellten für Medien- und Informationsdienste – Fachrichtung Bibliothek (m/w/d), für den 01.08.2020						","/stellenangebote/44050","Stellenangebot","6","0,00 %"
"
							Fachangestellte/r für Medien- und Informationsdienste (m/w/d), Vollzeit, befristete Elternzeitvertretung (Kennziffer 19-07-08)						","/stellenangebote/44058","Stellenangebot","6","0,00 %"
"
							Bibliotheksmitarbeiter_in (m/w/d), E 9 TV-L, unbefristet, Vollzeit; Stellvertretende Leitung Bibliothek WHV, Katalogisierung, Schulungen, Kennziffer Bib 01/19						","/stellenangebote/44089","Stellenangebot","6","0,00 %"
"
							Professur für Online-Medienmanagement, insbesondere Medienökonomie und Social Media, Vollzeit, ab Sommersemester 2020 Besoldungsgruppe W2, Kennziffer WS192006P						","/stellenangebote/44106","Stellenangebot","6","0,00 %"
"
							Bibliothekar/in (BA, Diplom), Bestandserschließung und weitere Aufgaben (m/w/d), E 9 TV-L, Vollzeit, befristet bis 31.12.2023, Kennziffer Ld 19/2019						","/stellenangebote/44133","Stellenangebot","6","0,00 %"
"
							Bibliothekar (m/w/d) Diplom bzw. Bachelor, unbefristet, E10 TV-L, Kennziffer 2019-66-BIB						","/stellenangebote/44157","Stellenangebot","6","0,00 %"
"
							Stellvertretende Leitung, Besoldungsgruppe A 14, Vollzeit						","/stellenangebote/44159","Stellenangebot","6","0,00 %"
"
							Biblio­theks­be­schäf­tigte*r (d/m/w) – E8 TV-L Ber­li­ner Hoch­schu­len – 50 % Arbeits­zeit						","/stellenangebote/44284","Stellenangebot","6","0,00 %"
"
							Mitarbeiter (m/w/d) Bibliothek, Backoffice / Empfang, Teilzeit						","/stellenangebote/44290","Stellenangebot","6","0,00 %"
"
							Operativer Controller (m/w/d), TV-L E9, befristet für 12 Monate						","/stellenangebote/44292","Stellenangebot","6","0,00 %"
"
							Fachreferent/in (m/w/d), TVL E 13, zunächst befristet für 2 Jahre						","/stellenangebote/44312","Stellenangebot","6","0,00 %"
"
							Musikbibliothekarin und Musikbibliothekar (w/m/d), E9c TVöD, unbefristet, in Teilzeit mit der Hälfte der regelmäßigen wöchentlichen Arbeitszeit, eine befristete Stundenaufstockung auf 31 Wochenstunden wäre bei Interesse möglich, Verfahrensnummer: 10015						","/stellenangebote/44318","Stellenangebot","6","0,00 %"
"
							Bücherbusfahrer/Buchbinderhelfer (m/w/d), E 3 TVÖD, Vollzeit, zunächst 12 Monate befristet						","/stellenangebote/44339","Stellenangebot","6","0,00 %"
"
							Senior Project Manager – Digitalisierung (m/w/d), auf drei Jahre befristete Vollzeit-Position						","/stellenangebote/44341","Stellenangebot","6","0,00 %"
"
							Customer Service Manager (m/w) Campusbibliothek (80–100 %)						","/stellenangebote/44343","Stellenangebot","6","0,00 %"
"
							IRC Digitalization Officer (m/f/d), Full-time, unlimited, Start January 2020, Job ID 19-57						","/stellenangebote/44345","Stellenangebot","6","0,00 %"
"
							Fachreferentin / Fachreferenten für Pädagogik und Psychologie, Teilzeit (70%), Kennziffer: TAST1395						","/stellenangebote/44357","Stellenangebot","6","0,00 %"
"
							Koordinator/in Digitalisierung, Teilzeit 50%, befristet mit Option auf Verlängerung,						","/stellenangebote/44363","Stellenangebot","6","0,00 %"
"
							Wissenschaftliche/r Bibliothekar/in für Musikwissenschaften, Teilzeit 40%						","/stellenangebote/44369","Stellenangebot","6","0,00 %"
