"Beitrag/Seite","URL","Inhaltstyp","Aufrufe","Anteil"
"
							Bibliotheksreferendar*in (w/m/d): Rechtswissenschaft oder Geisteswissenschaften (mit Schwerpuntk Digital Humanities), Kennziffer 08/2021						","/stellenangebote/59070","Stellenangebot","445","0,03 %"
"
							Leitung Stabstelle Digitalisierung (m/w/d) (EG 13 TV-L), unbefristet in Vollzeit						","/stellenangebote/61954","Stellenangebot","439","0,03 %"
"
							Koordinator/in Digital Humanities, E 14 TV-L, unbefristet in Vollzeit, Kennziffer AZ 2020-3						","/stellenangebote/57152","Stellenangebot","428","0,03 %"
"
							Leitung für die Stadtbücherei (w, m, d), unbefristet, Vollzeit, leistungsgerechte Vergütung nach den Bestimmungen des Tarifvertrages für den öffentlichen Dienst (TVöD)						","/stellenangebote/37508","Stellenangebot","411","0,03 %"
"
							Fachangestellte/Fachangestellter für Medien- und Informationsdienste (w/m/d),  Betreff „VG19AN12“, unbefristet, mit Angabe Ihrer Gehaltsvorstellung						","/stellenangebote/37513","Stellenangebot","411","0,03 %"
"
							Fachangestellte/r für Medien- und Informationsdienste, FR Bibliothek (m-w-d), E 6 TV-L, befristet in Teilzeit, Reg.-Nr. 3-3101/19-H						","/stellenangebote/37506","Stellenangebot","408","0,03 %"
"
							Bibliotheksleitung (m/w/d), E 13 TVöD Bund, unbefristet, Vollzeit						","/stellenangebote/62071","Stellenangebot","408","0,03 %"
"
							Fachangestellte/r für Medien- und Informationsdienste (m/w/d) – Fachrichtung Bibliothek (Ausbildungsplatz)						","/stellenangebote/59671","Stellenangebot","405","0,03 %"
"
							Bibliotheksreferendar/in Fachrichtung: Geschichtswissenschaft mit dem Schwerpunkt mittelalterliche Geschichte, Mediävistik oder ältere Germanistik, Anwärterbezüge nach dem Landesbesoldungsgesetz, Kennziffer 2020-B13						","/stellenangebote/57534","Stellenangebot","404","0,03 %"
"
							Liaison-Bibliothekar/-in (m/w/d), Vollzeit, unbefristet, E 13 TV-L FU, Kennung: UB/2021/6						","/stellenangebote/58760","Stellenangebot","404","0,03 %"
"
							Wissenschaftliche*r Volontär*in (m/w/d)in der Koordinierungsstelle für die Erhaltung des schriftlichen Kulturguts (KEK), Entgeltgruppe 13, Stufe 1 TVöD Bund, befristet, Vollzeit						","/stellenangebote/59158","Stellenangebot","402","0,03 %"
"
							Wissenschaftliche/r Mitarbeiter/in / höherer Bibliotheksdienst /  Abteilungsleitung, E14 TV-L oder Bes.Gr. A13/A14, Vollzeit, unbefristet, Kennziffer AZ 2021-5						","/stellenangebote/59600","Stellenangebot","398","0,03 %"
"
							wissenschaftliche*r Mitarbeiter*in, E 13 TV-H, unbefristet in Vollzeit, IZB 5093-21-15						","/stellenangebote/65440","Stellenangebot","397","0,03 %"
"
							Stellenarchiv						","/stellenarchiv/page/4","Seite","393","0,03 %"
"
							Bibliotheksrat m/w/d, A13, Vollzeit, unbefristet						","/stellenangebote/59833","Stellenangebot","384","0,03 %"
"
							Werkstudenten als Assistenz in der (Fach-)Bibliothek (m/w/d), Vergütung?						","/stellenangebote/56257","Stellenangebot","381","0,03 %"
